ITS2 type profile		A4z	A4	B19-B19j	B5-B5ay	B2-B2e	B1	B5a	C1/C3-C1c-C1b-C1w	C1/C1c-C1al-C1b-C42.2	C1/C1c-C1al-C1b	C1/C1c-C3-C1al	C1-C1c-C3-C72k	C1-C1c-C72k-C1b	C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3	C3-C1-C3y-C6a	C1/C1c-C1b-C72k-C42.2	C3-C3y-C6a	C3af-C3hq	C1-C1c-C1am-C1ao-C1an-C1b-C3cm	C1/C3/C1c-C1b	C1/C1c	C1/C3-C1c	C1/C3/C42.2-C1c-C1b	C1/C3-C1c-C1b-C42.2-C1bh-C1br	C1-C1c-C1b-C42.2-C3-C1br	C1/C3cm-C1c-C1am-C1ao-C1an	C15	C1-C1b-C1am-C1c	C1/C3-C1c-C1b-C42.2-C1bh	C1/C1b-C1u-C3	D1-D4-D1cl-D1ck-D4c-D1cm-D1c	D1-D4-D1cl-D4c-D1az-D1c	D1-D4-D4c-D1c-D2-D1k	D1-D4-D4c-D1c-D2	D1-D4-D1cl-D4c-D1az	D1-D4-D4c-D1h-D1c	D1/D4-D4c-D1c	D1-D4-D17d-D4c-D1r-D17e-D17c-D17j	D1-D4-D4c-D1az-D1hc-D1c	E1c
131536	O4D12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305.0	0	0	0	0	0	0	0	0	0	0	0	3673.0	0	0	0	0	0	0	0	0
131575	O3B4	0	0	188.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647.0	0	0	0	0	0	0	0	0	6531.0	0	0	0	0	0	0	0	0
131579	O2F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367.0	0	0	0	0	0	0	0	0	0	0	0	3740.0	0	0	0	0	0	0	0	0
131574	O3I8	0	0	0	0	0	0	0	0	0	0	1708.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10856.0	0	0	0	0	0	0	0	0
131610	O3D9	0	0	0	0	0	0	0	0	0	0	1132.0	0	0	0	0	0	0	38.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8155.0	0	0	0	0	0	0	0	0
131521	O4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1873.0	0	0	0	0	0	0	0	0	0	0	0	0	9259.0	0	0	0	0	0	0	0	0
131596	O4D8	0	0	479.0	0	0	0	0	0	0	0	1628.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8016.0	0	0	0	0	0	0	0	0
131582	I3D8	0	0	279.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.0	0	0	0	90.0	0	0	0	0	0	0	0	0	0	1979.0	0	0	0	0	0	0	0	0
131524	O2F8	0	0	0	0	0	0	0	0	0	0	2602.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4382.0	0	0	0	0	0	0	0	0
131553	O3B9	0	0	0	0	0	0	0	0	0	6687.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11640.0	0	0	0	0	0	0	0	0
131576	O2C7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3691.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4764.0	0	0	0	0	0	0	0	0
103725	I2F	0	0	0	0	0	0	0	7049.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131562	I4D5	0	0	0	0	0	0	0	16667.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103755	O2I	0	0	0	0	0	0	0	12656.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103726	I2G	0	0	0	0	0	0	0	4458.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103742	I4E	0	0	0	0	0	0	0	9371.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131603	O2B5	0	0	0	0	0	0	0	28238.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131577	I4A5	0	0	0	0	0	0	0	11268.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103741	I4D	0	0	0	0	0	0	0	10972.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103721	I2B	0	0	0	0	0	0	0	9742.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103746	I4I	0	0	0	0	0	0	0	6899.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103723	I2D	0	0	0	0	0	0	0	8532.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131455	I2D4	0	0	0	0	0	0	0	2788.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131435	I4A3	0	0	0	0	0	0	0	4787.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131437	I4H1	0	0	0	0	0	0	0	12011.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103739	I4B	0	0	0	0	0	0	0	6087.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131540	I2G12	0	0	0	0	0	0	0	13138.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.0	0	0	0	0	0
103722	I2C	0	0	0	0	0	0	0	4001.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131439	O2B1	0	0	0	0	0	0	0	5356.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131467	I4E3	0	0	0	0	0	0	0	4094.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131430	O2B4	0	0	0	0	0	0	0	3301.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131466	I4C3	0	0	0	0	0	0	0	3669.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193.0	0	0	0	0	0	0	0	0	0
131511	I2B3	0	0	0	0	0	0	0	1459.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131507	O2B10	0	0	0	0	0	0	0	3565.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.0	0	0	0	0	0	0	0	0	0
131513	O4B3	0	0	0	0	0	0	0	2154.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203.0	0	0	0	0	0
103747	O2A	0	0	0	0	0	0	0	3239.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3129.0	0	0	0	0	0	0	0
103765	O4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15808.0	0	0	0	0	0	0	0
103764	O3I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7043.0	0	0	0	0	0	0	0
103761	O3F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14616.0	0	0	0	0	0	0	0
103759	O3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16942.0	0	0	0	0	0	0	0
103769	O4E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6699.0	0	0	0	0	0	0	0
103756	O3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8411.0	0	0	0	0	0	0	0
103749	O2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5715.0	0	0	0	0	0	0	0
103773	O4I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4040.0	0	0	0	0	0	0	0
103732	I3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4064.0	0	0	0	0	0	0	0
103754	O2H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283.0	0	0	0	0	0	0	8097.0	0	0	0	0	0	0	0
103750	O2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2219.0	0	0	0	0	0	0	0
103758	O3C	0	0	0	0	0	0	0	0	233.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4167.0	0	0	0	0	0	0	0
103730	I3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6423.0	0	0	0	0	0	0	0
103766	O4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	930.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6790.0	0	0	0	0	0	0	0
103763	O3H	0	0	0	0	0	0	0	0	0	0	0	0	0	1500.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8653.0	0	0	0	0	0	0	0
103757	O3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6308.0	0	0	0	0	0	0	0	0	0	0	0	0	0	18072.0	0	0	0	0	0	0	0
103762	O3G	0	0	0	0	0	0	0	0	3362.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6725.0	0	0	0	0	0	0	0
