"","A4z","A4","B19.B19j","B5.B5ay","B5a","C1.C3.C1c.C1b.C1w","C1.C1c.C1al.C1b.C42.2","C1.C1c.C1al.C1b","C1.C1c.C3.C1al","C1.C1c.C3.C72k","C1.C1c.C72k.C1b","C1.C1b.C1c.C42.2.C1bh.C1br.C1cb.C3","C3.C1.C3y.C6a","C1.C1c.C1b.C72k.C42.2","C3.C3y.C6a","C3af.C3hq","C1.C1c.C1am.C1ao.C1an.C1b.C3cm","C1.C3.C1c.C1b","C1.C1c","C1.C3.C1c","C1.C3.C42.2.C1c.C1b","C1.C3.C1c.C1b.C42.2.C1bh.C1br","C1.C1c.C1b.C42.2.C3.C1br","C1.C3cm.C1c.C1am.C1ao.C1an","C15","C1.C1b.C1am.C1c","C1.C3.C1c.C1b.C42.2.C1bh","C1.C1b.C1u.C3","D1.D4.D1cl.D1ck.D4c.D1cm.D1c","D1.D4.D1cl.D4c.D1az.D1c","D1.D4.D4c.D1c.D2.D1k","D1.D4.D4c.D1c.D2","D1.D4.D1cl.D4c.D1az","D1.D4.D4c.D1h.D1c","D1.D4.D4c.D1c","D1.D4.D17d.D4c.D1r.D17e.D17c.D17j","D1.D4.D4c.D1az.D1hc.D1c"
"I2F1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2A9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2G5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O3G1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O3H3",0,0,0.0166770379589297,0,0,0,0,0,0,0,0,0.960858742999378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224642190416926,0,0,0,0,0,0,0
"I2E3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O3G8",0,0,0,0,0,0,0,0,0,0,0,0.914137234782033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085862765217967,0,0,0,0,0,0,0
"O3H1",0,0,0,0,0,0,0,0,0,0,0,0.920114942528736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798850574712644
"I3F3",0,0,0,0,0,0,0,0,0,0,0,0.776879831342235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223120168657765,0,0,0,0,0,0,0,0
"I4B1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2C1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2C3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2A11",0,0,0,0,0,0,0,0,0,0,0,0,0,0.828104249667995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171895750332005,0,0,0,0,0,0,0
"O2E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2E8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2E7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O3E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923918846769888,0,0,0,0,0,0,0.0760811532301121,0,0,0,0,0,0,0,0
"I3G3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767024128686327,0,0.232975871313673,0,0,0,0,0,0,0,0
