"logger","datetime","max","min","mean","range","date"
"STRI.IR2","2015-11-29 23:45:00",30.066,28.717,29.3681636904762,1.349,2015-11-29
"Cristo.IR3.arr1","2015-11-29 23:45:00",30.1922222222222,28.7911111111111,29.4925165343915,1.40111111111111,2015-11-29
"Cayo.OR3.arr3","2015-12-06 23:45:00",30.243,28.32,29.2265317460317,1.923,2015-12-06
"Drago.OR4","2015-12-06 23:45:00",29.916,28.196,28.9970550595238,1.72,2015-12-06
"Punta.IR1","2015-12-06 23:45:00",30.217,28.891,29.4864717261905,1.326,2015-12-06
"STRI.IR2","2015-12-06 23:45:00",29.69,28.642,29.1424107142857,1.048,2015-12-06
"Cristo.IR3.arr1","2015-12-06 23:45:00",30.52,28.5177777777778,29.4729152888007,2.00222222222223,2015-12-06
"Cayo.OR3.arr3","2015-12-13 23:45:00",29.865,28.568,29.1843239087302,1.297,2015-12-13
"Drago.OR4","2015-12-13 23:45:00",29.365,28.171,28.7905416666667,1.194,2015-12-13
"Punta.IR1","2015-12-13 23:45:00",29.916,28.866,29.3896463293651,1.05,2015-12-13
"STRI.IR2","2015-12-13 23:45:00",29.439,28.493,28.9534821428571,0.946000000000002,2015-12-13
"Cristo.IR3.arr1","2015-12-13 23:45:00",30.6211111111111,28.7911111111111,29.6188941247795,1.83,2015-12-13
"Cayo.OR3.arr3","2015-12-20 23:45:00",30.596,28.568,29.5343531746032,2.028,2015-12-20
"Drago.OR4","2015-12-20 23:45:00",29.515,28.072,28.8253025793651,1.443,2015-12-20
"Punta.IR1","2015-12-20 23:45:00",30.167,28.816,29.4699097222222,1.351,2015-12-20
"STRI.IR2","2015-12-20 23:45:00",29.389,28.667,29.022693452381,0.721999999999998,2015-12-20
"Cristo.IR3.arr1","2015-12-20 23:45:00",30.95,28.8661111111111,29.8059121472663,2.08388888888889,2015-12-20
"Cayo.OR3.arr3","2015-12-27 23:45:00",29.29,28.593,28.9181319444444,0.696999999999999,2015-12-27
"Drago.OR4","2015-12-27 23:45:00",29.439,28.32,28.8440704365079,1.119,2015-12-27
"Punta.IR1","2015-12-27 23:45:00",29.49,28.617,29.0407807539683,0.872999999999998,2015-12-27
"STRI.IR2","2015-12-27 23:45:00",29.14,28.593,28.8436116071429,0.547000000000001,2015-12-27
"Cristo.IR3.arr1","2015-12-27 23:45:00",30.1172222222222,28.8161111111111,29.3722065145503,1.30111111111111,2015-12-27
"Cayo.OR3.arr3","2016-01-03 23:45:00",29.765,28.419,29.0494831349206,1.346,2016-01-03
"Drago.OR4","2016-01-03 23:45:00",29.49,28.369,28.9149270833333,1.121,2016-01-03
"Punta.IR1","2016-01-03 23:45:00",29.64,28.518,29.1036155753968,1.122,2016-01-03
"STRI.IR2","2016-01-03 23:45:00",29.265,28.493,28.8799067460317,0.772000000000002,2016-01-03
"Cristo.IR3.arr1","2016-01-03 23:45:00",30.3688888888889,28.5177777777778,29.3615181327161,1.85111111111111,2016-01-03
"Cayo.OR3.arr3","2016-01-10 23:45:00",30.293,28.394,29.2726969246032,1.899,2016-01-10
"Drago.OR4","2016-01-10 23:45:00",29.54,27.949,28.7565744047619,1.591,2016-01-10
"Punta.IR1","2016-01-10 23:45:00",29.815,28.493,29.1493387896825,1.322,2016-01-10
"STRI.IR2","2016-01-10 23:45:00",29.365,28.617,28.9850783730159,0.747999999999998,2016-01-10
"Cristo.IR3.arr1","2016-01-10 23:45:00",31.23,28.345,29.7106318893298,2.885,2016-01-10
"Cayo.OR3.arr3","2016-01-17 23:45:00",30.343,28.593,29.425753968254,1.75,2016-01-17
"Drago.OR4","2016-01-17 23:45:00",29.79,28.444,29.0591994047619,1.346,2016-01-17
"Punta.IR1","2016-01-17 23:45:00",30.192,28.99,29.562746031746,1.202,2016-01-17
"STRI.IR2","2016-01-17 23:45:00",29.615,28.593,29.0951121031746,1.022,2016-01-17
"Cristo.IR3.arr1","2016-01-17 23:45:00",31.1527777777778,29.04,30.0493163029101,2.11277777777778,2016-01-17
"Cayo.OR3.arr3","2016-01-24 23:45:00",29.865,27.628,28.6882266865079,2.237,2016-01-24
"Drago.OR4","2016-01-24 23:45:00",29.815,27.554,28.5902356150794,2.261,2016-01-24
"Punta.IR1","2016-01-24 23:45:00",30.217,28.32,29.2082375992064,1.897,2016-01-24
"STRI.IR2","2016-01-24 23:45:00",29.765,28.369,29.0452301587302,1.396,2016-01-24
"Cristo.IR3.arr1","2016-01-24 23:45:00",30.7222222222222,27.825,29.2830737433862,2.89722222222222,2016-01-24
"Cayo.OR3.arr3","2016-01-31 23:45:00",29.966,27.85,28.7986101190476,2.116,2016-01-31
"Drago.OR4","2016-01-31 23:45:00",29.34,27.505,28.3670952380952,1.835,2016-01-31
"Punta.IR1","2016-01-31 23:45:00",29.439,28.072,28.7044578373016,1.367,2016-01-31
"STRI.IR2","2016-01-31 23:45:00",29.19,28.171,28.6195927579365,1.019,2016-01-31
"Cristo.IR3.arr1","2016-01-31 23:45:00",30.5711111111111,28.1472222222222,29.2846726190476,2.42388888888889,2016-01-31
