frag,survivedtoend,treat,pasastan1,pasastan2,pasastan3,pasarec1,pasarec2,pasarec3,blastvol,blaster,hprotplate,hprot1,hprot2,hprot3,chl630_1,chl630_2,chl630_3,chl663_1,chl663_2,chl663_3,symcount1,symcount2,symcount3,symmit1,symmit2,symmit3,tisthick1,tisthick2,tisthick3,tisthick4,tisthick5,tisthick6,origsitecode,sitename,newsitecode,fragid,nubbin,reef,SAcm2,symcm2,symmit,tissue,chl630adj,chl663adj,chlA,chlC2
I3C6,NA,init,266731,261664,270606,877159,876112,878431,10,Joyce,O4,0.035,0.049,0.037,0.033,0.038,0.041,0.096,0.11,0.115,70,50,56,0,0,0,4.7,4.4,4.8,4.5,4.3,4.5,I3,I-Cristobal,ICB,C6,ICBC6,Inner Reef,13.17496223,445289.0689,0,4.533333333,-0.006066667,0.0655,1.325913478,-1.308547204
I3E6,NA,init,265063,265082,265082,1047792,1046804,1045011,15,Lauren,D8,0.275,0.275,0.271,0.1,0.116,0.112,0.292,0.339,0.329,106,90,92,0,0,1,6,5.8,5.6,3.3,5.3,5.1,I3,I-Cristobal,ICB,E6,ICBE6,Inner Reef,15.79225554,911839.348,0.003472222,5.183333333,0.065933333,0.2785,4.671952008,1.366526773
I3F6,NA,init,264428,262015,263904,1089302,1089426,1094549,13,Lauren,O5,0.262,0.217,0.255,0.291,0.297,0.284,0.873,0.887,0.854,353,459,365,0,0,0,6,5.5,3.6,3.7,3.5,3,I3,I-Cristobal,ICB,F6,ICBF6,Inner Reef,16.56627785,3078744.29,0,4.216666667,0.247266667,0.829833333,13.25381569,7.054000969
I3G6,NA,init,263691,262907,265974,792608,791727,788513,14,Lauren,D4,0.176,0.187,0.198,0.079,0.085,0.084,0.144,0.158,0.155,30,40,45,0,0,0,4.8,5.7,5,3.9,4.3,5.2,I3,I-Cristobal,ICB,G6,ICBG6,Inner Reef,11.97543189,448139.7179,0,4.816666667,0.039266667,0.110833333,2.445990559,1.84243376
I3H6,NA,init,263651,261849,265917,1088097,1076961,1077805,12,Olivia,O4,0.131,0.147,0.135,0.083,0.094,0.093,0.248,0.283,0.283,149,137,141,0,0,0,4.7,4.6,5.1,4.4,4.7,4.5,I3,I-Cristobal,ICB,H6,ICBH6,Inner Reef,16.39016094,1042088.608,0,4.666666667,0.0466,0.229833333,3.717473767,0.593584165
I3I6,NA,init,266365,265368,266774,1152665,1149581,1155311,19,Darren,D4,0.159,0.144,0.2,0.199,0.23,0.224,0.506,0.593,0.572,187,250,93,0,0,0,5.4,5.2,5.1,6.1,5.6,6.1,I3,I-Cristobal,ICB,I6,ICBI6,Inner Reef,17.32010865,1938017.096,0,5.583333333,0.174266667,0.5155,7.868603063,5.425297375
I4A6,NA,init,260865,271034,267141,1030410,1030148,1029252,16,Lauren,D4,0.119,0.102,0.104,0.089,0.098,0.098,0.182,0.206,0.207,44,70,64,0,0,1,3.8,3.5,4.2,3.7,4.4,3.9,I4,I-Punta Donato,IPD,A6,IPDA6,Inner Reef,15.46761113,613755.6247,0.005617978,3.916666667,0.0516,0.156833333,2.68111171,1.753414911
I4B6,NA,init,265851,266373,265853,1022182,1020845,1020484,21,Darren,D6,0.036,0.055,0.043,0.222,0.25,0.246,0.241,0.272,0.267,75,75,56,0,0,0,2.7,4.4,3.6,2.9,2.9,4.1,I4,I-Punta Donato,IPD,B6,IPDB6,Inner Reef,15.35446329,939140.6086,0,3.433333333,0.195933333,0.2185,3.719222152,10.81747612
I4C12,NA,init,265437,265256,265523,905766,908379,902749,11,Olivia,O4,0.127,0.123,0.109,0.093,0.105,0.102,0.281,0.311,0.304,228,128,142,0,0,0,5.7,5.7,5.8,5.5,6.1,5.9,I4,I-Punta Donato,IPD,C12,IPDC12,Inner Reef,13.64902991,1337824.015,0,5.783333333,0.0566,0.257166667,4.993184652,1.135416956
I4E8,NA,init,266055,266036,265801,582045,585582,591450,10,Lauren,O5,0.059,0.082,0.085,0.067,0.073,0.071,0.128,0.138,0.137,90,117,113,1,0,0,4.2,5.2,5.7,4.7,5.2,5,I4,I-Punta Donato,IPD,E8,IPDE8,Inner Reef,8.818622069,1209561.605,0.003125,5,0.026933333,0.092833333,2.785785936,1.396991492
I4F6,NA,init,264481,263975,264991,839260,840870,840089,13,Olivia,O4,0.094,0.08,0.093,0.763,0.085,0.085,0.818,0.254,0.255,115,131,125,0,0,0,3.4,3.8,4.3,4,2.7,3.9,I4,I-Punta Donato,IPD,F6,IPDF6,Inner Reef,12.70516619,1265364.531,0,3.683333333,0.2676,0.400833333,8.284566431,16.50556449
I4G6,NA,init,264423,266234,265964,869021,868721,867319,16,Olivia,D6,0.023,0.029,0.025,0.167,0.193,0.192,0.179,0.207,0.206,53,58,77,0,2,1,5.3,4.2,5.9,4.9,5.5,5,I4,I-Punta Donato,IPD,G6,IPDG6,Inner Reef,13.08055399,766532.2642,0.015957447,5.133333333,0.1406,0.155833333,3.113292706,9.124241993
