frag,hcarbplate_ha,hcarb1_ha,hcarb2_ha,hcarb3_ha,scarbplate_ha,scarb1_ha,scarb2_ha,scarb3_ha
I4E3,O7,0.199,0.605,0.36,O24,0.148,0.132,0.254
I4E8,O15,0.202,0.242,0.152,O32,0.039,0.055,0.037
I4F2,O4,0.337,0.268,0.241,O21,0.066,0.068,0.06
I4F4,O11,0.393,0.236,0.286,O28,0.059,0.127,0.136
I4F5,O13,0.376,0.42,0.356,O30,0.067,0.115,0.067
I4F6,O15,0.174,0.301,0.281,O32,0.193,0.116,0.141
I4G2,O5,0.294,0.412,0.261,O22,0.057,0.082,0.078
I4G3,O8,0.568,0.624,0.505,O25,0.16,0.153,0.169
I4G4,O12,0.466,0.559,0.392,O29,0.156,0.119,0.107
I4G6,O16,0.143,0.105,0.109,O33,0.114,0.103,0.2
