"frag","treat","sitename","reef","T2_T0_perc","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","pam","sym_cm2","chlA"
"O4B3","Mod Var","BN","Outer Reef",1.9866844207723,0.465135002567764,0.138620472822998,0.640317580941947,0.619666666666667,1787117.4187524,6.59748121934861
"O4C3","Mod Var","BN","Outer Reef",2.27132737911921,0.360227015312828,0.0997286394917063,0.301297743118158,0.587333333333333,1679866.40610825,3.105667463117
"I2D3","Mod Var","SP","Inner Reef",3.38384075307658,0.0787495056713598,0.0688115740741222,0.042994831429571,0.504333333333333,115179.668681021,0.514687124775773
"I2E3","Mod Var","SP","Inner Reef",1.51830560913657,0.356339868612271,0.071259085425354,0.154218102422362,0.549,856782.475499745,2.15129511773231
"I2F10","Mod Var","SP","Inner Reef",0.771342659171136,0.0727232786961157,0.0305187902725561,0.0439736863677055,NA,28155.8629690206,0.04369789932792
"I3D3","Mod Var","CI","Inner Reef",1.31877216844013,0.345727607001365,0.111335585871165,0.251257603158218,0.456666666666667,752581.700204446,2.03348297296153
"I3E3","Mod Var","CI","Inner Reef",2.69743397207261,0.173133977151366,0.135070436575083,0.0666164392758261,0.559,636072.1257756,1.37072022257084
"I3F3","Mod Var","CI","Inner Reef",3.55746800327848,0.184666607029923,0.181462948603961,0.149773821165327,0.569333333333333,1297740.14955421,NA
"I4D9","Mod Var","PD","Inner Reef",-0.281851783092271,0.359739428536827,0.292726965826249,0.165276561802104,NA,736237.0773763,3.56712999297796
"I4E3","Mod Var","PD","Inner Reef",0.396491228070174,0.311622816195527,0.13979123691279,0.191358812645215,0.619333333333333,607529.90797705,1.68637069129701
"I4F3","Mod Var","PD","Inner Reef",1.25383587175481,NA,NA,NA,NA,NA,NA
"O2D3","Mod Var","BS","Outer Reef",2.67086186245239,0.346426987738509,0.101265578991296,0.172565617008559,0.638333333333333,1098097.286404,5.22447774721846
"O2E3","Mod Var","BS","Outer Reef",1.96488606649234,0.333430929208564,0.175529070629061,0.216560764503991,0.620333333333333,706017.375256799,3.46176676068108
"O2F3","Mod Var","BS","Outer Reef",3.3874287256655,0.394935592196199,0.0675934893987895,0.329004732805013,0.494666666666667,1457517.91703447,2.34611562555459
"O3D9","Mod Var","CA","Outer Reef",3.06241041335762,0.254654735038229,0.138386026969112,0.177120172531958,NA,258295.73306877,2.8307230372128
"O3E3","Mod Var","CA","Outer Reef",1.71469596286773,0.374712607278315,0.281919911010202,0.397518487973346,0.543666666666667,1871030.92972452,5.02305080704617
"O4D12","Mod Var","BN","Outer Reef",3.94076388658046,0.360672750512559,0.181080504548785,0.224471661132595,NA,515458.038107275,1.90805856669992
